edge_device_id,edge_record_id,row_id,interval_start_at,interval_end_at,interval_ms,seed_count,sensor_status
edge-001,edge-001-000001,1,2026-05-05T10:00:00.000Z,2026-05-05T10:00:02.000Z,2000,1,ok
edge-001,edge-001-000002,1,2026-05-05T10:00:02.000Z,2026-05-05T10:00:04.000Z,2000,1,ok
edge-001,edge-001-000003,1,2026-05-05T10:00:04.000Z,2026-05-05T10:00:06.000Z,2000,0,ok
edge-001,edge-001-000004,1,2026-05-05T10:00:06.000Z,2026-05-05T10:00:08.000Z,2000,2,ok
edge-001,edge-001-000005,1,2026-05-05T10:00:08.000Z,2026-05-05T10:00:10.000Z,2000,1,ok
edge-001,edge-001-000006,1,2026-05-05T10:00:10.000Z,2026-05-05T10:00:12.000Z,2000,3,ok
edge-001,edge-001-000007,1,2026-05-05T10:00:12.000Z,2026-05-05T10:00:14.000Z,2000,1,ok
edge-001,edge-001-000008,1,2026-05-05T10:00:14.000Z,2026-05-05T10:00:16.000Z,2000,0,warning
edge-001,edge-001-000009,1,2026-05-05T10:00:16.000Z,2026-05-05T10:00:18.000Z,2000,1,ok
edge-001,edge-001-000010,1,2026-05-05T10:00:18.000Z,2026-05-05T10:00:20.000Z,2000,2,ok
edge-001,edge-001-000011,1,2026-05-05T10:00:20.000Z,2026-05-05T10:00:22.000Z,2000,1,ok
edge-001,edge-001-000012,1,2026-05-05T10:00:22.000Z,2026-05-05T10:00:24.000Z,2000,1,ok
edge-001,edge-001-000013,1,2026-05-05T10:00:24.000Z,2026-05-05T10:00:26.000Z,2000,0,ok
edge-001,edge-001-000014,1,2026-05-05T10:00:26.000Z,2026-05-05T10:00:28.000Z,2000,3,ok
edge-001,edge-001-000015,1,2026-05-05T10:00:28.000Z,2026-05-05T10:00:30.000Z,2000,1,ok
edge-001,edge-001-000016,1,2026-05-05T10:00:30.000Z,2026-05-05T10:00:32.000Z,2000,2,ok
edge-001,edge-001-000017,1,2026-05-05T10:00:32.000Z,2026-05-05T10:00:34.000Z,2000,1,ok
edge-001,edge-001-000018,1,2026-05-05T10:00:34.000Z,2026-05-05T10:00:36.000Z,2000,0,error
edge-001,edge-001-000019,1,2026-05-05T10:00:36.000Z,2026-05-05T10:00:38.000Z,2000,1,ok
edge-001,edge-001-000020,1,2026-05-05T10:00:38.000Z,2026-05-05T10:00:40.000Z,2000,2,ok
